season,team_id,wins,losses,wl%,asts,rebs,orebs,tovs,fga,fg%,2pa,2p%,3pa,3p%,fta,ft%,pfs,pts
2017-18,1610612758,27,55,0.329,21,40,9,13,86,0.45,62,0.479,24,0.375,16,0.735,20,98
2017-18,1610612759,47,35,0.573,22,44,10,13,85,0.457,61,0.498,24,0.352,20,0.772,17,102
2017-18,1610612760,48,34,0.585,21,45,12,14,88,0.453,58,0.504,30,0.354,24,0.716,20,107
2017-18,1610612761,59,23,0.72,24,44,9,13,87,0.472,54,0.542,33,0.358,21,0.794,21,111
2017-18,1610612762,48,34,0.585,22,43,9,14,82,0.462,53,0.515,29,0.366,21,0.779,19,104
2017-18,1610612763,22,60,0.268,21,40,9,15,82,0.444,56,0.487,26,0.352,21,0.786,23,99
2017-18,1610612764,43,39,0.524,25,43,10,14,85,0.467,59,0.508,26,0.375,21,0.772,21,106
2017-18,1610612765,39,43,0.476,22,43,10,13,86,0.45,58,0.487,28,0.373,19,0.745,18,103
2017-18,1610612766,36,46,0.439,21,45,10,12,86,0.45,59,0.487,27,0.369,27,0.747,17,108
2018-19,1610612737,29,53,0.354,25,46,11,17,91,0.451,54,0.519,37,0.352,23,0.752,23,113
2018-19,1610612738,49,33,0.598,26,44,9,12,90,0.465,56,0.526,34,0.365,19,0.802,20,112
2018-19,1610612739,19,63,0.232,20,42,10,13,87,0.444,58,0.488,29,0.355,20,0.792,20,104
2018-19,1610612740,33,49,0.402,27,47,11,14,92,0.473,63,0.532,29,0.344,23,0.761,21,115
2018-19,1610612741,22,60,0.268,21,42,8,14,87,0.453,62,0.494,25,0.351,20,0.783,20,104
2018-19,1610612742,33,49,0.402,23,45,10,14,86,0.447,50,0.524,36,0.34,25,0.742,20,108
2018-19,1610612743,54,28,0.659,27,46,11,13,90,0.466,59,0.526,31,0.351,20,0.755,20,110
2018-19,1610612744,57,25,0.695,29,46,9,14,89,0.491,55,0.557,34,0.385,20,0.801,21,117
2018-19,1610612745,53,29,0.646,21,42,10,13,87,0.449,42,0.549,45,0.356,24,0.791,22,113
2018-19,1610612746,48,34,0.585,24,45,9,14,87,0.471,62,0.504,25,0.388,28,0.792,23,115
2018-19,1610612747,37,45,0.451,25,46,10,15,90,0.47,59,0.542,31,0.333,23,0.699,20,111
2018-19,1610612748,39,43,0.476,24,46,11,14,88,0.45,56,0.508,32,0.349,21,0.695,20,105
2018-19,1610612749,60,22,0.732,26,49,9,13,91,0.476,53,0.564,38,0.353,23,0.773,19,118
2018-19,1610612750,36,46,0.439,24,44,11,13,91,0.456,63,0.503,28,0.351,24,0.787,20,112
2018-19,1610612751,42,40,0.512,23,46,11,15,89,0.449,53,0.514,36,0.353,25,0.745,21,112
2018-19,1610612752,17,65,0.207,20,44,10,14,88,0.433,59,0.479,29,0.34,23,0.759,20,104
2018-19,1610612753,42,40,0.512,25,45,10,13,89,0.454,57,0.509,32,0.356,19,0.782,18,107
2018-19,1610612754,48,34,0.585,26,43,9,13,87,0.475,62,0.516,25,0.374,21,0.752,19,108
2018-19,1610612755,51,31,0.622,26,47,10,14,88,0.471,58,0.529,30,0.359,27,0.771,21,115
2018-19,1610612756,19,63,0.232,23,40,9,15,87,0.459,58,0.524,29,0.329,22,0.779,23,107
2018-19,1610612757,53,29,0.646,23,48,11,13,90,0.467,60,0.521,30,0.359,23,0.814,20,114
2018-19,1610612758,39,43,0.476,25,45,11,13,93,0.464,64,0.503,29,0.378,22,0.726,21,114
2018-19,1610612759,48,34,0.585,24,44,9,12,88,0.478,63,0.512,25,0.392,21,0.819,18,111
2018-19,1610612760,49,33,0.598,23,48,12,14,94,0.454,62,0.509,32,0.348,25,0.713,22,114
2018-19,1610612761,58,24,0.707,25,45,9,14,89,0.474,56,0.538,33,0.366,22,0.804,21,114
2018-19,1610612762,50,32,0.61,26,46,10,15,86,0.468,52,0.541,34,0.356,25,0.736,21,111
2018-19,1610612763,33,49,0.402,23,41,8,14,84,0.45,56,0.504,28,0.342,23,0.772,22,103
